code,year,sex,e0,Country,ch_e0
CAN,1975,female,77.23,Canada,0.3299999999999983
FRATNP,1975,female,76.87,France,0.12000000000000455
JPN,1975,female,76.88,Japan,0.5099999999999909
GBR_NP,1975,female,75.71,United Kingdom,0.2599999999999909
USA,1975,female,76.46,USA,0.6099999999999994
CAN,1975,male,70,Canada,0.269999999999996
FRATNP,1975,male,69.02,France,0.0899999999999892
JPN,1975,male,71.76,Japan,0.5
GBR_NP,1975,male,69.51,United Kingdom,0.29000000000000625
USA,1975,male,68.72,USA,0.539999999999992
CAN,1976,female,77.67,Canada,0.4399999999999977
FRATNP,1976,female,77.2,France,0.3299999999999983
JPN,1976,female,77.29,Japan,0.4100000000000108
GBR_NP,1976,female,75.68,United Kingdom,-0.029999999999986926
USA,1976,female,76.68,USA,0.22000000000001307
CAN,1976,male,70.38,Canada,0.37999999999999545
FRATNP,1976,male,69.15,France,0.13000000000000966
JPN,1976,male,72.14,Japan,0.37999999999999545
GBR_NP,1976,male,69.53,United Kingdom,0.01999999999999602
USA,1976,male,69.08,USA,0.35999999999999943
CAN,1977,female,77.96,Canada,0.28999999999999204
FRATNP,1977,female,77.84,France,0.6400000000000006
JPN,1977,female,77.86,Japan,0.5699999999999932
GBR_NP,1977,female,76.14,United Kingdom,0.45999999999999375
USA,1977,female,77.09,USA,0.4099999999999966
CAN,1977,male,70.63,Canada,0.25
FRATNP,1977,male,69.7,France,0.5499999999999972
JPN,1977,male,72.68,Japan,0.5400000000000063
GBR_NP,1977,male,70,United Kingdom,0.46999999999999886
USA,1977,male,69.41,USA,0.3299999999999983
CAN,1978,female,78.32,Canada,0.35999999999999943
FRATNP,1978,female,77.96,France,0.11999999999999034
JPN,1978,female,78.22,Japan,0.35999999999999943
GBR_NP,1978,female,76.07,United Kingdom,-0.07000000000000739
USA,1978,female,77.23,USA,0.14000000000000057
CAN,1978,male,70.91,Canada,0.28000000000000114
FRATNP,1978,male,69.82,France,0.11999999999999034
JPN,1978,male,72.97,Japan,0.28999999999999204
GBR_NP,1978,male,69.94,United Kingdom,-0.060000000000002274
USA,1978,male,69.62,USA,0.21000000000000796
CAN,1979,female,78.59,Canada,0.27000000000001023
FRATNP,1979,female,78.28,France,0.3200000000000074
JPN,1979,female,78.76,Japan,0.5400000000000063
GBR_NP,1979,female,76.19,United Kingdom,0.12000000000000455
USA,1979,female,77.66,USA,0.4299999999999926
CAN,1979,male,71.31,Canada,0.4000000000000057
FRATNP,1979,male,70.05,France,0.23000000000000398
JPN,1979,male,73.44,Japan,0.46999999999999886
GBR_NP,1979,male,70.06,United Kingdom,0.12000000000000455
USA,1979,male,70.01,USA,0.39000000000000057
CAN,1980,female,78.72,Canada,0.12999999999999545
