Country,sex,age,data,start_year,end_year,rsq,period
Canada,female,0,"<df[,2]>",1975,1990,0.9638381703470481,1975-1990
Canada,female,0,"<df[,2]>",1975,2018,0.8354295390265093,1975 onwards
Canada,female,0,"<df[,2]>",1991,2018,0.7121390527093098,1991 onwards
Canada,female,1,"<df[,2]>",1975,1990,0.8175582766810777,1975-1990
Canada,female,1,"<df[,2]>",1975,2018,0.8722860786093498,1975 onwards
Canada,female,1,"<df[,2]>",1991,2018,0.5345781529967589,1991 onwards
Canada,female,2,"<df[,2]>",1975,1990,0.8078466380226638,1975-1990
Canada,female,2,"<df[,2]>",1975,2018,0.9067320582413255,1975 onwards
Canada,female,2,"<df[,2]>",1991,2018,0.6635992137206751,1991 onwards
Canada,female,3,"<df[,2]>",1975,1990,0.7497408526515609,1975-1990
Canada,female,3,"<df[,2]>",1975,2018,0.880690333940226,1975 onwards
Canada,female,3,"<df[,2]>",1991,2018,0.6072378827544711,1991 onwards
Canada,female,4,"<df[,2]>",1975,1990,0.8493094888627022,1975-1990
Canada,female,4,"<df[,2]>",1975,2018,0.8634664312133061,1975 onwards
Canada,female,4,"<df[,2]>",1991,2018,0.5286321879517587,1991 onwards
Canada,female,5,"<df[,2]>",1975,1990,0.8221273127355134,1975-1990
Canada,female,5,"<df[,2]>",1975,2018,0.8350385718878691,1975 onwards
Canada,female,5,"<df[,2]>",1991,2018,0.5248759409223864,1991 onwards
Canada,female,6,"<df[,2]>",1975,1990,0.684725454907807,1975-1990
Canada,female,6,"<df[,2]>",1975,2018,0.7625390644853572,1975 onwards
Canada,female,6,"<df[,2]>",1991,2018,0.43027327230748236,1991 onwards
Canada,female,7,"<df[,2]>",1975,1990,0.6509232591300399,1975-1990
Canada,female,7,"<df[,2]>",1975,2018,0.8193098701881838,1975 onwards
Canada,female,7,"<df[,2]>",1991,2018,0.5338904455877818,1991 onwards
Canada,female,8,"<df[,2]>",1975,1990,0.48073212683732386,1975-1990
Canada,female,8,"<df[,2]>",1975,2018,0.6750588776977277,1975 onwards
Canada,female,8,"<df[,2]>",1991,2018,0.38980217851422577,1991 onwards
Canada,female,9,"<df[,2]>",1975,1990,0.66875542838025,1975-1990
Canada,female,9,"<df[,2]>",1975,2018,0.8168744348858665,1975 onwards
Canada,female,9,"<df[,2]>",1991,2018,0.5202038765046227,1991 onwards
Canada,female,10,"<df[,2]>",1975,1990,0.4998575647030871,1975-1990
Canada,female,10,"<df[,2]>",1975,2018,0.7974607328968976,1975 onwards
Canada,female,10,"<df[,2]>",1991,2018,0.5554832743998722,1991 onwards
Canada,female,11,"<df[,2]>",1975,1990,0.3353130793609825,1975-1990
Canada,female,11,"<df[,2]>",1975,2018,0.7074129606391211,1975 onwards
Canada,female,11,"<df[,2]>",1991,2018,0.3866910771171509,1991 onwards
Canada,female,12,"<df[,2]>",1975,1990,0.3855397413941432,1975-1990
Canada,female,12,"<df[,2]>",1975,2018,0.6441131313732446,1975 onwards
Canada,female,12,"<df[,2]>",1991,2018,0.3427976025301789,1991 onwards
Canada,female,13,"<df[,2]>",1975,1990,0.641986063699642,1975-1990
Canada,female,13,"<df[,2]>",1975,2018,0.6305545117482801,1975 onwards
Canada,female,13,"<df[,2]>",1991,2018,0.32356079559853984,1991 onwards
Canada,female,14,"<df[,2]>",1975,1990,0.5733664812360828,1975-1990
Canada,female,14,"<df[,2]>",1975,2018,0.665919726236604,1975 onwards
Canada,female,14,"<df[,2]>",1991,2018,0.14977986393723614,1991 onwards
Canada,female,15,"<df[,2]>",1975,1990,0.7324272273699944,1975-1990
Canada,female,15,"<df[,2]>",1975,2018,0.7838540237777929,1975 onwards
Canada,female,15,"<df[,2]>",1991,2018,0.5363055234764361,1991 onwards
